question,class
มีส่วนกลางมั้ย,สิ่งอำนวยความสะดวก
ส่วนกลางมีอะไรบ้าง,สิ่งอำนวยความสะดวก
มี co-working space มั้ย,สิ่งอำนวยความสะดวก
มีที่นั่งรอบริเวณล็อบบี้มั้ย,สิ่งอำนวยความสะดวก
มีบาร์มั้ย บริเวณล็อบบี้,สิ่งอำนวยความสะดวก
ล็อบบี้เปิด-ปิดกี่โมง,สิ่งอำนวยความสะดวก
มีร้านอาหารภายในคอนโดมั้ย,สิ่งอำนวยความสะดวก
มีห้องประชุมมั้ย,สิ่งอำนวยความสะดวก
มีสปามั้ย,สิ่งอำนวยความสะดวก
มีโซนเด็กเล่นมั้ย,สิ่งอำนวยความสะดวก
มีสระว่ายน้ำมั้ย,สิ่งอำนวยความสะดวก
สระว่ายน้ำฟรีมั้ย,สิ่งอำนวยความสะดวก
สระว่ายน้ำเป็นแบบไหน,สิ่งอำนวยความสะดวก
มีสระว่ายน้ำเด็กมั้ย,สิ่งอำนวยความสะดวก
มีลิฟต์มั้ย,สิ่งอำนวยความสะดวก
ลิฟต์ลูกบ้านสามารถกดได้ทุกชั้นเลยมั้ย,สิ่งอำนวยความสะดวก
มีเครื่องซักผ้าหยอดเหรียญให้มั้ย,สิ่งอำนวยความสะดวก
มีเครื่องอบผ้าหยอดเหรีญมั้ย,สิ่งอำนวยความสะดวก
มีบริการซักผ้ามั้ย,สิ่งอำนวยความสะดวก
มีบริการซัก อบ รีดมั้ย,สิ่งอำนวยความสะดวก
มีตู้กดขนมมั้ย,สิ่งอำนวยความสะดวก
มีเต่าบินมั้ย,สิ่งอำนวยความสะดวก
มีตู้กดน้ำมั้ย,สิ่งอำนวยความสะดวก
ตู้กดน้ำกดฟรีมั้ย,สิ่งอำนวยความสะดวก
มีตู้กดน้ำหยอดเหรียญมั้ย,สิ่งอำนวยความสะดวก
มีฟิตเนสมั้ย,สิ่งอำนวยความสะดวก
ฟิตเนสเปิด-ปิดกี่โมง,สิ่งอำนวยความสะดวก
มีฟิตเนสประเภทไหนบ้าง,สิ่งอำนวยความสะดวก
มีห้องโยคะมั้ย,สิ่งอำนวยความสะดวก
มีห้องซ้อมเต้นมั้ย,สิ่งอำนวยความสะดวก
สามารถปลูกต้นไม้ภายในห้องได้มั้ย,สิ่งอำนวยความสะดวก
สัดส่วนพื้นที่สีเขียวภายในคอนโดนี้เป็นเท่าไหร่,สิ่งอำนวยความสะดวก
สามารถปลูกต้นไม้บริเวณระเบียงได้มั้ย,สิ่งอำนวยความสะดวก
ในคอนโดมีสัดส่วนพื้นที่สีเขียวเป็นเท่าไหร่,สิ่งอำนวยความสะดวก
ในแต่ละชั้นคอนโดมีพื้นที่สีเขียวสัดส่วนเป็นเท่าไหร่,สิ่งอำนวยความสะดวก
มีสวนหย่อมบริเวณด้านล่างมั้ย,สิ่งอำนวยความสะดวก
มีสวนหย่อมบริเวณดาดฟ้ามั้ย,สิ่งอำนวยความสะดวก
มีคนสวนดูแลต้นไม้มั้ย,สิ่งอำนวยความสะดวก
มีการปรับปรุงทัศนียภาพตลอดมั้ย,สิ่งอำนวยความสะดวก
สามารถพาสัตว์เลี้ยงไปเดินเล่นบริเวณสวนหย่อมได้มั้ย,สิ่งอำนวยความสะดวก
มีพื้นที่สีเขียวเยอะมั้ย ภายในพื้นที่คอนโด,สิ่งอำนวยความสะดวก
มีต้นไม้เยอะมั้ย ภายในคอนโด,สิ่งอำนวยความสะดวก
แต่ละชั้นมีพื้นที่สีเขียวมั้ย,สิ่งอำนวยความสะดวก
มีพื้นที่สีเขียวตรงไหนบ้าง,สิ่งอำนวยความสะดวก
มีโซนพื้นที่สีเขียวตรงไหนบ้าง,สิ่งอำนวยความสะดวก
มีสวนหย่อมตรงไหนบ้าง,สิ่งอำนวยความสะดวก
ต้องจ่ายค่าดูแลทัศนียภาพมั้ย,สิ่งอำนวยความสะดวก
มีพื้นที่นั่งเล่นในสวนมั้ย,สิ่งอำนวยความสะดวก
มีมุมนั่งเล่นในสวนมั้ย,สิ่งอำนวยความสะดวก
มีมุมพักผ่อนในสวนมั้ย,สิ่งอำนวยความสะดวก
มีโซนพักผ่อนในสวนมั้ย,สิ่งอำนวยความสะดวก
มีสระว่ายน้ำมั้ย,สิ่งอำนวยความสะดวก
สระว่ายน้ำฟรีมั้ย,สิ่งอำนวยความสะดวก
มีสระว่ายน้ำเด็กมั้ย,สิ่งอำนวยความสะดวก
สามารถมาใช้สระน้ำได้เลยมั้ย,สิ่งอำนวยความสะดวก
สระว่ายน้ำเปิดทุกวันมั้ย,สิ่งอำนวยความสะดวก
มีเจ้าหน้าที่บริเวณสระว่ายน้ำมั้ย,สิ่งอำนวยความสะดวก
มีอุปกรณ์ช่วยเหลือเวลาเกิดเหตุฉุกเฉินบริเวณสระว่ายน้ำมั้ย,สิ่งอำนวยความสะดวก
สระว่ายน้ำมีขนาดเท่าไหร่,สิ่งอำนวยความสะดวก
สระว่ายน้ำมีความลึกสูงสุดเท่าไหร่,สิ่งอำนวยความสะดวก
สระว่ายน้ำเปิดกี่โมง,สิ่งอำนวยความสะดวก
ใช้สระว่ายน้ำได้ตอนไหนบ้าง,สิ่งอำนวยความสะดวก
สระว่ายน้ำเสียงเงินไหม,สิ่งอำนวยความสะดวก
มีสระว่ายน้ำให้ใช้หรือไม่,สิ่งอำนวยความสะดวก
มีสระเด็กให้บริการหรือไม่,สิ่งอำนวยความสะดวก
ที่นี่มีสระว่ายน้ำไหมคับ,สิ่งอำนวยความสะดวก
สระน้ำเด็กเล่นได้ไหม,สิ่งอำนวยความสะดวก
ถ้าอยากเล่นน้ำสามารถเล่นตอนไหนได้บ้าง,สิ่งอำนวยความสะดวก
สระว่ายน้ำเสียตังค์ไหม,สิ่งอำนวยความสะดวก
มีสวนหยอมไหม,สิ่งอำนวยความสะดวก
มีพื้นที่สีเขียวหรือไม่,สิ่งอำนวยความสะดวก
มีสวนให้เข้าไปเดินไหมครับ,สิ่งอำนวยความสะดวก
สวนหย่อมสามารถเข้าได้เมื่อไหร่,สิ่งอำนวยความสะดวก
สวนหย่อมเปิดกี่โมง,สิ่งอำนวยความสะดวก
สวนหย่อมเข้าไปใช้ได้ฟรีไหม,สิ่งอำนวยความสะดวก
ที่นี่มีสวนหย่อมไหมคะ,สิ่งอำนวยความสะดวก
มีฟิตเนสมั้ย,สิ่งอำนวยความสะดวก
ฟิตเนสเปิด-ปิดกี่โมง,สิ่งอำนวยความสะดวก
ฟิตเนสเปิดทุกวันไหม,สิ่งอำนวยความสะดวก
คนนอกสามารถเข้าใช้บริการฟิตเนสได้มั้ย,สิ่งอำนวยความสะดวก
คนนอกต้องเสียค่าบริการใช้ฟิตเนสเท่าไหร่,สิ่งอำนวยความสะดวก
เสียค่าเข้าฟิตเนสไหม,สิ่งอำนวยความสะดวก
ฟิตเนสให้บริการกี่โมง,สิ่งอำนวยความสะดวก
ฟิตเนสฟรีไหมคับ,สิ่งอำนวยความสะดวก
มีฟิตเนสให้บริการไหม,สิ่งอำนวยความสะดวก
ต้องจองเวลามาใช้ฟิตเนสมั้ย,สิ่งอำนวยความสะดวก
ฟิตเนสเปิดทุกวันมั้ย,สิ่งอำนวยความสะดวก
ที่จอดรถรองรับรถ EV มั้ย,สิ่งอำนวยความสะดวก
ที่จอดรถในอาคารหรือนอกอาคาร,สิ่งอำนวยความสะดวก
ที่จอดรถเป็นแบบไหน,สิ่งอำนวยความสะดวก
อัตราค่าจอดรถเท่าไหร่,สิ่งอำนวยความสะดวก
ลูกบ้าน 1 ห้อง สามารถจอดได้กี่คัน,สิ่งอำนวยความสะดวก
มีการจำกัดจำนวนที่จอดรถมั้ย,สิ่งอำนวยความสะดวก
สามารถจอดรถ 2 คัน ได้มั้ย,สิ่งอำนวยความสะดวก
มีที่จอดรถมอร์เตอร์ไซค์มั้ย,สิ่งอำนวยความสะดวก
เสียค่าที่จอดอย่างไร,สิ่งอำนวยความสะดวก
ค่าที่จอดรถเป็นรายเดือนหรือรายปี,สิ่งอำนวยความสะดวก
ที่ชาร์จรถ EV มี อัตราราคาเท่าไหร่,สิ่งอำนวยความสะดวก
มีที่จอดรถซุปเปอร์คาร์มั้ย,สิ่งอำนวยความสะดวก
มีบริการล้างรถในโซนที่จอดรถมั้ย,สิ่งอำนวยความสะดวก
มีที่เติมลมยาง โซนที่จอดรถมั้ย,สิ่งอำนวยความสะดวก
ที่จอดรถมีพอสำหรับลูกบ้านทุกห้องมั้ย,สิ่งอำนวยความสะดวก
ถ้าไม่มีรถต้องเสียค่าที่จอดรถรวมมั้ย,สิ่งอำนวยความสะดวก
ค่าฟิตเนสรวมอยู่ในค่าส่วนกลางมั้ย,สิ่งอำนวยความสะดวก
มีที่จอดรถให้ไหม,สิ่งอำนวยความสะดวก
มีการเปลี่ยนน้ำในสระว่ายน้ำมั้ย,สิ่งอำนวยความสะดวก
มีมาตรการความสะอาดพื้นที่สระว่ายน้ำอย่างไรบ้าง,สิ่งอำนวยความสะดวก
มีแม่บ้านมั้ย,สิ่งอำนวยความสะดวก
สามารถจ้างแม่บ้านมาทำความสะอาดในห้องได้มั้ย,สิ่งอำนวยความสะดวก
มีบริการทำความสะอาดรายวันมั้ย,สิ่งอำนวยความสะดวก
มีการทำความสะอาดบริเวณทางเดินหน้าห้องหรือไม่,สิ่งอำนวยความสะดวก
แม่บ้านมีกี่คน,สิ่งอำนวยความสะดวก
มีคนดูแลความสะอาดไหม,สิ่งอำนวยความสะดวก
ทำความสะอาดพื้นกันตลอดเวลาป่าว,สิ่งอำนวยความสะดวก
สะอาดจริงไหมคับ,สิ่งอำนวยความสะดวก
ความสะอาดของคอนโดเป็นยังไง,สิ่งอำนวยความสะดวก
ที่นี่สกปรกไหมครับ,สิ่งอำนวยความสะดวก
มีโซนทิ้งขยะมั้ย,สิ่งอำนวยความสะดวก
มีวันทิ้งขยะมั้ย,สิ่งอำนวยความสะดวก
วันทิ้งขยะคือวันไหน,สิ่งอำนวยความสะดวก
มีเครื่องพ่นยาฆ่าเชื้อภายในคอนโดมั้ย,สิ่งอำนวยความสะดวก
มีมาตรการป้องการป้องกันเชื้อไวรัสอย่างไร,สิ่งอำนวยความสะดวก
ห้องมีคนทำความสะอาดให้ไหม,สิ่งอำนวยความสะดวก
มีการทำความสะอาดพื้นที่ส่วนรวมตลอดมั้ย,สิ่งอำนวยความสะดวก
มีการกรองอากาศภายในคอนโดมั้ย,สิ่งอำนวยความสะดวก
มีเครื่องตรวจสภาพอากาศภายในคอนโดมั้ย,สิ่งอำนวยความสะดวก
มีเครื่องกรอง PM 2.5 มั้ย,สิ่งอำนวยความสะดวก
มีการตรวจสอบคุณภาพน้ำมั้ย,สิ่งอำนวยความสะดวก
ระบบน้ำที่นี่เป็นแบบไหน,สิ่งอำนวยความสะดวก
มีระบบบำบัดน้ำเสียมั้ย,สิ่งอำนวยความสะดวก
มีการทำความพื้นที่ส่วนรวมตลอดเวลามั้ย,สิ่งอำนวยความสะดวก
พนักงานภายในคอนโดได้รับวัคซีนป้องกันไวรัสมั้ย,สิ่งอำนวยความสะดวก
คอนโดแห่งนี้สะอาดมากน้อยเพียงใด,สิ่งอำนวยความสะดวก
มีการทำความสะอาดห้องและพื้นที่ส่วนกลางบ่อยแค่ไหน,สิ่งอำนวยความสะดวก
มีพนักงานทำความสะอาดกี่คน,สิ่งอำนวยความสะดวก
มีอุปกรณ์ทำความสะอาดเพียงพอหรือไม่,สิ่งอำนวยความสะดวก
มีระบบดูดฝุ่นอัตโนมัติหรือไม่,สิ่งอำนวยความสะดวก
มีระบบสุขาภิบาลที่ดีหรือไม่,สิ่งอำนวยความสะดวก
มีกลิ่นไม่พึงประสงค์หรือไม่,สิ่งอำนวยความสะดวก
มีมาตรการป้องกันการแพร่ระบาดของโรคหรือไม่,สิ่งอำนวยความสะดวก
มีระบบระบายอากาศหรือไม่,สิ่งอำนวยความสะดวก
วันนึงทำความสะอาดกี่รอบ,สิ่งอำนวยความสะดวก
นโยบายรักษาความสะอาดของที่นี่คืออะไร,สิ่งอำนวยความสะดวก
แม่บ้านทำความสะอาดวันละกี่คน,สิ่งอำนวยความสะดวก
แม่บ้านทำความสะอาดโอเคไหม,สิ่งอำนวยความสะดวก
พนักงานดูแลความสะอาดภายมีกี่คน,สิ่งอำนวยความสะดวก
ขยะเก็บวันละกี่ครั้ง,สิ่งอำนวยความสะดวก
ขยะที่ทิ้งแล้วมีคนมาเก็บตอนไหน,สิ่งอำนวยความสะดวก
ต้องทิ้งขยะตรงไหน,สิ่งอำนวยความสะดวก
มีการจัดการขยะอย่างไร,สิ่งอำนวยความสะดวก
มีการเคลียขยะอย่างไร,สิ่งอำนวยความสะดวก
ต้องขนขยะลงมาทิ้งข้างล่างมั้ย,สิ่งอำนวยความสะดวก
มีจุดทิ้งขยะทุกชั้นมั้ย,สิ่งอำนวยความสะดวก
มีจุดทิ้งขยะมั้ย,สิ่งอำนวยความสะดวก
ภายในห้องให้อะไรมาบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีโต๊ะกี่ตัว,สิ่งอำนวยความสะดวกภานในห้อง
ในห้องนี้ให้อะไรมาบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
อยากทราบว่าในห้องให้อะไรมาบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
เช่าแล้วมีของอะไรให้ใช้บ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีตู้เสื้อผ้าไหม,สิ่งอำนวยความสะดวกภานในห้อง
เช่าห้องแล้วได้อะไรบ้างคับ,สิ่งอำนวยความสะดวกภานในห้อง
ทีวีตู้เย็นมีแถมมาให้ไหม,สิ่งอำนวยความสะดวกภานในห้อง
แถมอะไรกับห้องบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
สิ่งของภายในห้อง,สิ่งอำนวยความสะดวกภานในห้อง
สิ่งของที่ติดมากับคอนโด,สิ่งอำนวยความสะดวกภานในห้อง
มีเก้าอี่กี่ตัว,สิ่งอำนวยความสะดวกภานในห้อง
มีทีวีมัย,สิ่งอำนวยความสะดวกภานในห้อง
เตียงเป็นแบบไหน,สิ่งอำนวยความสะดวกภานในห้อง
ให้อะไรมาในห้องบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีเฟอร์นิเจอร์อะไรบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีโซฟาให้ไหม,สิ่งอำนวยความสะดวกภานในห้อง
มีไมโครเวฟให้ป่าว,สิ่งอำนวยความสะดวกภานในห้อง
มีเครื่องใช้ไฟฟ้าอะไรบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีสิ่งอำนวยความสะดวกอะไรบ้างภายในห้อง,สิ่งอำนวยความสะดวกภานในห้อง
มีอะไรในห้องบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
ให้เก้าอี้มาไหม,สิ่งอำนวยความสะดวกภานในห้อง
ให้ทีวีมารึเปล่า,สิ่งอำนวยความสะดวกภานในห้อง
ให้โซฟามาไหม,สิ่งอำนวยความสะดวกภานในห้อง
ให้เตียงมาป่าว,สิ่งอำนวยความสะดวกภานในห้อง
ให้เครื่องใช้ไฟฟ้าอะไรมาบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีเก้าอี้ป่าว,สิ่งอำนวยความสะดวกภานในห้อง
มีโต๊ะไหม,สิ่งอำนวยความสะดวกภานในห้อง
มีอะไรที่ให้มาในห้องบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีตู้เย็นไหม,สิ่งอำนวยความสะดวกภานในห้อง
ให้ตู้เย็นมาป่าว,สิ่งอำนวยความสะดวกภานในห้อง
มีแอร์ให้มาไหม,สิ่งอำนวยความสะดวกภานในห้อง
มีแอร์ไหม,สิ่งอำนวยความสะดวกภานในห้อง
มี tv ป่าว,สิ่งอำนวยความสะดวกภานในห้อง
ให้ tv มาไหม,สิ่งอำนวยความสะดวกภานในห้อง
ของใช้ในห้องมีอะไรบ้าง,สิ่งอำนวยความสะดวกภานในห้อง
มีของใช้ที่จำเป็นให้มาไหม,สิ่งอำนวยความสะดวกภานในห้อง
ปลอดภัยไหม,การรักษาความปลอดภัย
รักษาความปลอดภัยอย่างไร,การรักษาความปลอดภัย
มีระบบความรักษาความปลอดภัยมั้ย,การรักษาความปลอดภัย
มียามคอยเฝ้ามั้ย,การรักษาความปลอดภัย
มียามไหม,การรักษาความปลอดภัย
มียามเฝ้ามั้ย,การรักษาความปลอดภัย
มีคนคอยเฝ้ามั้ย,การรักษาความปลอดภัย
มีคนเฝ้าไหม,การรักษาความปลอดภัย
มียามคอยรักษาความปลอดภัยไหมตอนกลางคืน,การรักษาความปลอดภัย
เคยมีขโมยมั้ย,การรักษาความปลอดภัย
เคยมีใครถูกขโมยของไหม,การรักษาความปลอดภัย
ยามในคอนโดนี้อยู่ตลอด 24 ชม.ไหม,การรักษาความปลอดภัย
จะไว้ใจการรักษาความปลอดภัยที่นี่ได้อย่างไร,การรักษาความปลอดภัย
มีระบบรักษาความปลอดภัยอะไรบ้าง,การรักษาความปลอดภัย
เคยมีประวัติโจรขโมยบ้างหรือไม่,การรักษาความปลอดภัย
ป้อมยามมีคนอยู่จริงไหม,การรักษาความปลอดภัย
ยามประจำคอนโดเชื่อใจได้ไหม,การรักษาความปลอดภัย
ยามในคอนโดถูกคัดมาอย่างไร,การรักษาความปลอดภัย
มีกล้องวงจรปิดในคอนโดบ้างไหม,การรักษาความปลอดภัย
มีกล้องวงจรปิดกี่ตัวในคอนโด,การรักษาความปลอดภัย
กล้องวงจรปิดของคอนโดนี้ทำงานได้จริงไหม,การรักษาความปลอดภัย
ถ้ามาอยู่แล้วจะวางใจเรื่องความปลอดภัยได้อย่างไร,การรักษาความปลอดภัย
ที่นี่ปลอดภัยไหม,การรักษาความปลอดภัย
มีอันตรายเยอะมั้ย,การรักษาความปลอดภัย
มีเหตุอันตรายเกิดขึ้นบ่อยมั้ย,การรักษาความปลอดภัย
อันตรายรึป่าว,การรักษาความปลอดภัย
ระบบรักษาความปลอดภัยของที่นี่มีอะไรบ้าง,การรักษาความปลอดภัย
เคยมีเหตุอันตรายมั้ย,การรักษาความปลอดภัย
ประตูมีความปลอดภัยไหม,การรักษาความปลอดภัย
มีระบบแสกนเข้าออกตรงประตูมั้ย,การรักษาความปลอดภัย
มีการแสกนเข้าประตูมั้ย,การรักษาความปลอดภัย
มีระบบรักษาความปลอดภัยมั้ยตรงประตู,การรักษาความปลอดภัย
ถ้ามีโจรขึ้นคอนโดจะทำอย่างไร,การรักษาความปลอดภัย
ต้องทำอะไรถ้าโดนขโมยของในคอนโด,การรักษาความปลอดภัย
มีทางหนีไฟไหม,การรักษาความปลอดภัย
ทางหนีไฟสามารถใช้ได้ทุกชั้นหรือไม่,การรักษาความปลอดภัย
ประตูเข้าคอนโดมีระบบรักษาความปลอดภัยมั้ย,การรักษาความปลอดภัย
มีการรักษาความปลอดภัยอย่างไร,การรักษาความปลอดภัย
วางใจเรื่องความปลอดภัยได้หรือไม่,การรักษาความปลอดภัย
มีเจ้าหน้าที่รักษาความปลอดภัยหรือไม่,การรักษาความปลอดภัย